query,ya.ru_top1,vk.com_top1,m.vk.com_top1,rutube.ru_top1,dzen.ru_top1,ya.ru_top3,vk.com_top3,m.vk.com_top3,rutube.ru_top3,dzen.ru_top3,ya.ru_top5,vk.com_top5,m.vk.com_top5,rutube.ru_top5,dzen.ru_top5,ya.ru_top10,vk.com_top10,m.vk.com_top10,rutube.ru_top10,dzen.ru_top10
yandex,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
